,city,IATA
0,Tabarka,TBJ
1,La Coruna,LCG
2,Aalborg,AAL
3,Aarhus,AAR
4,Aasiaat,JEG
5,Abadan,ABD
6,Abakan,ABA
7,Abbotsford,YXX
8,Malang,MLG
9,Abeche,AEH
10,Santa Clara,SNU
11,Aberdeen,ABR
12,Abha,AHB
13,Abidjan,ABJ
14,Abilene,ABI
15,Ciudad Juarez,CJS
16,Springfield,SPI
17,Abu Dhabi,AUH
18,Abu Simbel,ABS
19,Louisiana,ARA
20,Semarang,SRG
21,Adak Island,ADK
22,Little Rock,LIT
23,Adana,ADA
24,Adelaide,ADL
25,Mogadishu,MGQ
26,Aden,ADE
27,Solo City,SOC
28,Yogyakarta,JOG
29,Saranac Lake,SLK
30,\N,ADF
31,Izmir,ADB
32,Buenos Aires,AEP
33,Porto Seguro,BPS
34,Roxana,TTQ
35,Curitiba,CWB
36,Afyon,AFY
37,Agartala,IXA
38,Agatti Island,AGX
39,Aggeneys,AGZ
40,Agra,AGR
41,\N,AJI
42,Agrinion,AGQ
43,Ocana,OCV
44,Aguni,AGJ
45,\N,AHE
46,Ahmedabad,AMD
47,Ahuas,AHS
48,Ahwaz,AWZ
49,Ailuk Island,AIM
50,Aioun El Atrouss,IEO
51,Hammerfest,HFT
52,Mehamn,MEH
53,Vadso,VDS
54,Aitutaki,AIT
55,Chambery,CMF
56,Aix-les-milles,QXB
57,Aizwal,AJL
58,Akita,AXT
59,Aklavik,LAK
60,Akola,AKD
61,AKRON,CAK
62,Akron,AKR
63,Akrotiri,AKT
64,Aksu,AKU
65,Aktau,SCO
66,Preveza,PVK
67,Aktyubinsk,AKX
68,Akulivik,AKV
69,\N,QCU
70,Akureyri,AEY
71,Akutan,KQA
72,\N,HOF
73,Al-ahsa,LEA
74,\N,AAN
75,El-baha,ABT
76,Al Ghaidah Intl,AAY
77,Al-jouf,AJO
78,Al-Jawf,AJF
79,Alamogordo,ALM
80,Albacete,ABC
81,Albany,ALH
82,Albany,ALB
83,Albenga,ALL
84,Jacksonville NC,OAJ
85,St. Petersburg,SPG
